"","date","hits","geo","time","gprop","category"
"68",2021-03-14,76,"LK","2019-12-01 2021-08-15","web",74
"69",2021-03-21,73,"LK","2019-12-01 2021-08-15","web",74
"70",2021-03-28,72,"LK","2019-12-01 2021-08-15","web",74
"71",2021-04-04,61,"LK","2019-12-01 2021-08-15","web",74
"72",2021-04-11,39,"LK","2019-12-01 2021-08-15","web",74
"73",2021-04-18,64,"LK","2019-12-01 2021-08-15","web",74
"74",2021-04-25,71,"LK","2019-12-01 2021-08-15","web",74
"75",2021-05-02,98,"LK","2019-12-01 2021-08-15","web",74
"76",2021-05-09,81,"LK","2019-12-01 2021-08-15","web",74
"77",2021-05-16,77,"LK","2019-12-01 2021-08-15","web",74
"78",2021-05-23,75,"LK","2019-12-01 2021-08-15","web",74
"79",2021-05-30,93,"LK","2019-12-01 2021-08-15","web",74
"80",2021-06-06,92,"LK","2019-12-01 2021-08-15","web",74
"81",2021-06-13,85,"LK","2019-12-01 2021-08-15","web",74
"82",2021-06-20,79,"LK","2019-12-01 2021-08-15","web",74
"83",2021-06-27,84,"LK","2019-12-01 2021-08-15","web",74
"84",2021-07-04,89,"LK","2019-12-01 2021-08-15","web",74
"85",2021-07-11,88,"LK","2019-12-01 2021-08-15","web",74
"86",2021-07-18,80,"LK","2019-12-01 2021-08-15","web",74
"87",2021-07-25,77,"LK","2019-12-01 2021-08-15","web",74
"88",2021-08-01,80,"LK","2019-12-01 2021-08-15","web",74
"89",2021-08-08,72,"LK","2019-12-01 2021-08-15","web",74
