date,Brookings,Common Sense Education,Commonweatlh of Learning,Education Nation,EdSurge,Global Business Coalition for Education,Keep Learning Going,Koulu.me,Organisation internationale de la Francophonie,UNEVOC Resources,UNHCR
1/22/2023,38,0,0,36,0,0,0,0,0,0,0
1/29/2023,40,0,0,25,0,0,0,0,0,0,24
2/5/2023,32,0,0,25,0,0,0,0,0,0,14
2/12/2023,24,0,0,19,0,0,0,0,0,0,0
2/19/2023,33,0,0,34,0,0,0,0,0,0,0
2/26/2023,36,0,0,33,0,0,0,0,0,0,16
3/5/2023,47,0,0,29,0,0,0,0,0,0,25
3/12/2023,40,0,0,21,0,0,0,0,0,0,0
3/19/2023,46,0,0,14,0,0,0,0,0,0,16
3/26/2023,46,0,0,21,0,0,0,0,0,0,17
4/2/2023,46,0,0,19,0,0,0,0,0,0,14
4/9/2023,29,0,0,23,0,0,0,0,0,0,13
4/16/2023,40,0,0,18,0,0,0,0,0,0,0
4/23/2023,30,0,0,25,0,0,0,0,0,0,17
4/30/2023,31,0,0,22,0,0,0,0,0,0,0
5/7/2023,35,0,0,17,0,0,0,0,0,0,14
5/14/2023,28,0,0,14,0,0,0,0,0,0,17
5/21/2023,27,0,0,12,0,0,0,0,0,0,0
5/28/2023,23,0,0,23,0,0,0,0,0,0,0
6/4/2023,28,0,0,15,0,0,0,0,0,0,0
6/11/2023,33,0,0,13,0,0,0,0,0,0,0
6/18/2023,15,0,0,22,0,0,0,0,0,0,17
6/25/2023,34,0,0,0,0,0,0,0,0,0,0
7/2/2023,24,0,0,16,0,0,0,0,0,0,0
7/9/2023,26,0,0,18,0,0,0,0,0,0,0
7/16/2023,31,0,0,0,0,0,0,0,0,0,0
7/23/2023,24,0,0,0,0,0,0,0,0,0,0
7/30/2023,32,0,0,22,0,0,0,0,0,0,0
8/6/2023,40,0,0,16,0,0,0,0,0,0,0
8/13/2023,54,15,0,0,0,0,0,0,0,0,15
8/20/2023,45,15,0,0,0,0,0,0,0,0,14
8/27/2023,47,0,0,19,0,0,0,0,0,0,0
9/3/2023,45,0,0,31,0,0,0,0,0,0,0
9/10/2023,47,16,0,33,0,0,0,0,0,0,17
9/17/2023,35,15,0,29,0,0,0,0,0,0,0
9/24/2023,48,0,0,32,0,0,0,0,0,0,0
10/1/2023,42,0,0,21,0,0,19,0,0,0,15
10/8/2023,45,0,0,32,0,0,0,0,0,0,0
10/15/2023,45,0,0,22,0,0,14,0,0,0,0
10/22/2023,45,0,0,22,0,0,0,0,0,0,0
10/29/2023,35,0,0,26,0,0,0,0,0,0,0
11/5/2023,45,16,0,24,0,0,0,0,0,0,0
11/12/2023,39,0,0,28,0,0,0,0,0,0,0
11/19/2023,24,0,0,37,0,0,0,0,0,0,23
11/26/2023,42,0,0,41,0,0,0,0,0,0,0
12/3/2023,79,0,0,40,0,0,0,0,0,0,28
12/10/2023,69,14,0,45,0,0,0,0,0,0,21
12/17/2023,33,0,0,0,0,0,0,0,0,0,16
12/24/2023,21,0,0,16,0,0,0,0,0,0,0
12/31/2023,33,0,0,25,0,0,0,0,20,0,0
1/7/2024,61,0,0,36,0,0,0,0,0,0,0
1/14/2024,32,0,0,30,0,0,0,0,0,0,0
1/21/2024,42,0,0,23,0,0,0,0,0,0,0
1/28/2024,44,0,0,14,0,0,0,0,0,0,0
2/4/2024,42,0,0,30,0,0,0,0,0,0,0
2/11/2024,45,0,0,19,0,0,0,0,0,0,0
2/18/2024,45,0,0,29,0,0,0,0,0,0,16
2/25/2024,31,19,0,35,0,0,0,0,0,0,0
3/3/2024,45,0,0,20,0,0,0,0,0,0,16
3/10/2024,45,0,16,22,0,0,0,0,0,0,0
3/17/2024,55,0,0,0,0,0,0,0,0,0,0
3/24/2024,38,0,0,0,0,0,0,0,0,0,16
3/31/2024,40,0,0,0,0,0,0,0,0,0,0
4/7/2024,30,0,0,20,0,0,0,0,0,0,0
4/14/2024,37,20,0,16,0,0,0,0,0,0,0
4/21/2024,26,0,0,0,0,0,0,0,0,0,0
4/28/2024,22,3,0,8,1,0,0,0,0,0,5
